DayNum,Timestamp(ms),Timestamp (s),Timestamp (numbers),HV Battery Current[A],HV Battery SOC[%],HV Battery Voltage[V]
5.889617213,32600,32.6,0.000377315,-12,66.46341705,381.5
5.889617213,33600,33.6,0.000388889,-12,66.46341705,381.5
5.889617213,34700,34.7,0.00040162,-12,66.46341705,381.5
5.889617213,34900,34.9,0.000403935,-12,66.46341705,381.5
5.889617213,35400,35.4,0.000409722,-12,66.46341705,374
5.889617213,35500,35.5,0.00041088,-49,66.46341705,374
5.889617213,35700,35.7,0.000413194,-49,66.46341705,374
5.889617213,36700,36.7,0.000424769,-49,66.46341705,374
5.889617213,37800,37.8,0.0004375,-49,66.46341705,374
5.889617213,38800,38.8,0.000449074,-49,66.46341705,374
5.889617213,39900,39.9,0.000461806,-49,66.46341705,374
5.889617213,40500,40.5,0.00046875,-12,66.46341705,379.5
5.889617213,40900,40.9,0.00047338,-12,66.46341705,379.5
5.889617213,41900,41.9,0.000484954,-12,66.46341705,379.5
5.889617213,43000,43,0.000497685,-12,66.46341705,379.5
5.889617213,44100,44.1,0.000510417,-12,66.46341705,379.5
5.889617213,45000,45,0.000520833,-12,66.46341705,379.5
5.889617213,45200,45.2,0.000523148,-12,66.46341705,379.5
5.889617213,45500,45.5,0.00052662,16.5,66.46341705,387
5.889617213,46200,46.2,0.000534722,16.5,66.46341705,387
5.889617213,46800,46.8,0.000541667,16.5,66.46341705,387
5.889617213,47300,47.3,0.000547454,16.5,66.46341705,387
5.889617213,48300,48.3,0.000559028,16.5,66.46341705,387
5.889617213,49300,49.3,0.000570602,16.5,66.46341705,387
5.889617213,49900,49.9,0.000577546,16.5,66.46341705,387
5.889617213,50400,50.4,0.000583333,16.5,66.46341705,387
5.889617213,50500,50.5,0.000584491,-25,66.46341705,377.5
5.889617213,51400,51.4,0.000594907,-25,66.46341705,377.5
5.889617213,52500,52.5,0.000607639,-25,66.46341705,377.5
5.889617213,53500,53.5,0.000619213,-25,66.46341705,377.5
5.889617213,54500,54.5,0.000630787,-25,66.46341705,377.5
5.889617213,55000,55,0.000636574,-25,66.0975647,377.5
5.889617213,55600,55.6,0.000643519,-10.5,66.0975647,383
5.889617213,56600,56.6,0.000655093,-10.5,66.0975647,383
5.889617213,57600,57.6,0.000666667,-10.5,66.0975647,383
5.889617213,58700,58.7,0.000679398,-10.5,66.0975647,383
5.889617213,59700,59.7,0.000690972,-10.5,66.0975647,383
5.889617213,59900,59.9,0.000693287,-10.5,66.0975647,383
5.889617213,60600,60.6,0.000701389,23.5,66.0975647,383
5.889617213,60800,60.8,0.000703704,23.5,66.0975647,383
5.889617213,61800,61.8,0.000715278,23.5,66.0975647,383
5.889617213,62800,62.8,0.000726852,23.5,66.0975647,383
5.889617213,63900,63.9,0.000739583,23.5,66.0975647,383
5.889617213,64900,64.9,0.000751157,23.5,66.0975647,383
5.889617213,65600,65.6,0.000759259,23.5,66.0975647,387
5.889617213,65700,65.7,0.000760417,39,66.0975647,387
5.889617213,66000,66,0.000763889,39,66.0975647,387
5.889617213,67000,67,0.000775463,39,66.0975647,387
5.889617213,68000,68,0.000787037,39,66.0975647,387
5.889617213,69100,69.1,0.000799769,39,66.0975647,387
5.889617213,69900,69.9,0.000809028,39,66.0975647,387
5.889617213,70100,70.1,0.000811343,39,66.0975647,387
5.889617213,70700,70.7,0.000818287,-34.5,66.0975647,381.5
5.889617213,71200,71.2,0.000824074,-34.5,66.0975647,381.5
5.889617213,72200,72.2,0.000835648,-34.5,66.0975647,381.5
5.889617213,73300,73.3,0.00084838,-34.5,66.0975647,381.5
5.889617213,74300,74.3,0.000859954,-34.5,66.0975647,381.5
5.889617213,74900,74.9,0.000866898,-34.5,66.0975647,381.5
5.889617213,75300,75.3,0.000871528,-34.5,66.0975647,381.5
5.889617213,75700,75.7,0.000876157,-32,66.0975647,381
5.889617213,76400,76.4,0.000884259,-32,66.0975647,381
5.889617213,77400,77.4,0.000895833,-32,66.0975647,381
5.889617213,78500,78.5,0.000908565,-32,66.0975647,381
5.889617213,79600,79.6,0.000921296,-32,66.0975647,381
5.889617213,79900,79.9,0.000924769,-32,66.0975647,381
5.889617213,80600,80.6,0.00093287,-32,66.0975647,381
5.889617213,80700,80.7,0.000934028,-48.5,66.0975647,375.5
5.889617213,81700,81.7,0.000945602,-48.5,66.0975647,375.5
5.889617213,82700,82.7,0.000957176,-48.5,66.0975647,375.5
5.889617213,83800,83.8,0.000969907,-48.5,66.0975647,375.5
5.889617213,84800,84.8,0.000981481,-48.5,66.0975647,375.5
5.889617213,85400,85.4,0.000988426,-48.5,66.0975647,375.5
5.889617213,85800,85.8,0.000993056,-31.5,66.0975647,375.5
5.889617213,85900,85.9,0.000994213,-31.5,66.0975647,375.5
5.889617213,86900,86.9,0.001005787,-31.5,66.0975647,375.5
5.889617213,87900,87.9,0.001017361,-31.5,66.0975647,375.5
5.889617213,89000,89,0.001030093,-31.5,66.0975647,375.5
5.889617213,90000,90,0.001041667,-31.5,66.0975647,375.5
5.889617213,90800,90.8,0.001050926,28,66.0975647,378
5.889617213,91000,91,0.001053241,28,66.0975647,378
5.889617213,92100,92.1,0.001065972,28,66.0975647,378
5.889617213,93100,93.1,0.001077546,28,66.0975647,378
5.889617213,94200,94.2,0.001090278,28,66.0975647,378
